From,To,Sala A5-A7: Fill Level
2/8/2021 01:30,2/8/2021 01:40,8
2/8/2021 01:40,2/8/2021 01:50,13
2/8/2021 01:50,2/8/2021 02:00,23
2/8/2021 02:00,2/8/2021 02:10,28
2/8/2021 02:10,2/8/2021 02:20,33
2/8/2021 02:20,2/8/2021 02:30,35
2/8/2021 02:30,2/8/2021 02:40,41
2/8/2021 02:40,2/8/2021 02:50,50
2/8/2021 02:50,2/8/2021 03:00,60
2/8/2021 03:00,2/8/2021 03:10,64
2/8/2021 03:10,2/8/2021 03:20,72
2/8/2021 03:20,2/8/2021 03:30,87
2/8/2021 03:30,2/8/2021 03:40,84
2/8/2021 03:40,2/8/2021 03:50,83
2/8/2021 03:50,2/8/2021 04:00,70
2/8/2021 04:00,2/8/2021 04:10,0
2/8/2021 04:10,2/8/2021 04:20,0
2/8/2021 04:20,2/8/2021 04:30,0
2/8/2021 04:30,2/8/2021 04:40,0
2/8/2021 04:40,2/8/2021 04:50,0
2/8/2021 04:50,2/8/2021 05:00,0
2/8/2021 05:00,2/8/2021 05:10,2
2/8/2021 05:10,2/8/2021 05:20,7
2/8/2021 05:20,2/8/2021 05:30,7
2/8/2021 05:30,2/8/2021 05:40,11
2/8/2021 05:40,2/8/2021 05:50,30
2/8/2021 05:50,2/8/2021 06:00,45
2/8/2021 06:00,2/8/2021 06:10,27
2/8/2021 06:10,2/8/2021 06:20,15
2/8/2021 06:20,2/8/2021 06:30,12
2/8/2021 06:30,2/8/2021 06:40,9
2/8/2021 06:40,2/8/2021 06:50,7
2/8/2021 06:50,2/8/2021 07:00,7
2/8/2021 07:00,2/8/2021 07:10,6
2/8/2021 07:10,2/8/2021 07:20,7
2/8/2021 07:20,2/8/2021 07:30,8
2/8/2021 07:30,2/8/2021 07:40,8
2/8/2021 07:40,2/8/2021 07:50,8
2/8/2021 07:50,2/8/2021 08:00,9
2/8/2021 08:00,2/8/2021 08:10,11
2/8/2021 08:10,2/8/2021 08:20,10
2/8/2021 08:20,2/8/2021 08:30,10
2/8/2021 08:30,2/8/2021 08:40,10
2/8/2021 08:40,2/8/2021 08:50,11
2/8/2021 08:50,2/8/2021 09:00,15
2/8/2021 09:00,2/8/2021 09:10,18
2/8/2021 09:10,2/8/2021 09:20,19
2/8/2021 09:20,2/8/2021 09:30,29
2/8/2021 09:30,2/8/2021 09:40,38
2/8/2021 09:40,2/8/2021 09:50,46
2/8/2021 09:50,2/8/2021 10:00,62
2/8/2021 10:00,2/8/2021 10:10,38
2/8/2021 10:10,2/8/2021 10:20,10
2/8/2021 10:20,2/8/2021 10:30,6
2/8/2021 10:30,2/8/2021 10:40,4
2/8/2021 10:40,2/8/2021 10:50,4
2/8/2021 10:50,2/8/2021 11:00,5
2/8/2021 11:00,2/8/2021 11:10,4
2/8/2021 11:10,2/8/2021 11:20,4
2/8/2021 11:20,2/8/2021 11:30,6
2/8/2021 11:30,2/8/2021 11:40,5
2/8/2021 11:40,2/8/2021 11:50,4
2/8/2021 11:50,2/8/2021 12:00,4
2/8/2021 12:00,2/8/2021 12:10,3
2/8/2021 12:10,2/8/2021 12:20,3
2/8/2021 12:20,2/8/2021 12:30,3
2/8/2021 12:30,2/8/2021 12:40,3
2/8/2021 12:40,2/8/2021 12:50,4
2/8/2021 12:50,2/8/2021 13:00,6
2/8/2021 13:00,2/8/2021 13:10,8
2/8/2021 13:10,2/8/2021 13:20,7
2/8/2021 13:20,2/8/2021 13:30,6
2/8/2021 13:30,2/8/2021 13:40,6
2/8/2021 13:40,2/8/2021 13:50,8
2/8/2021 13:50,2/8/2021 14:00,7
2/8/2021 14:00,2/8/2021 14:10,7
2/8/2021 14:10,2/8/2021 14:20,7
2/8/2021 14:20,2/8/2021 14:30,7
2/8/2021 14:30,2/8/2021 14:40,8
2/8/2021 14:40,2/8/2021 14:50,8
2/8/2021 14:50,2/8/2021 15:00,7
2/8/2021 15:00,2/8/2021 15:10,7
2/8/2021 15:10,2/8/2021 15:20,7
2/8/2021 15:20,2/8/2021 15:30,9
2/8/2021 15:30,2/8/2021 15:40,8
2/8/2021 15:40,2/8/2021 15:50,10
2/8/2021 15:50,2/8/2021 16:00,10
2/8/2021 16:00,2/8/2021 16:10,13
2/8/2021 16:10,2/8/2021 16:20,14
2/8/2021 16:20,2/8/2021 16:30,19
2/8/2021 16:30,2/8/2021 16:40,24
2/8/2021 16:40,2/8/2021 16:50,26
2/8/2021 16:50,2/8/2021 17:00,26
2/8/2021 17:00,2/8/2021 17:10,28
2/8/2021 17:10,2/8/2021 17:20,26
2/8/2021 17:20,2/8/2021 17:30,32
2/8/2021 17:30,2/8/2021 17:40,40
2/8/2021 17:40,2/8/2021 17:50,44
2/8/2021 17:50,2/8/2021 18:00,24
2/8/2021 18:00,2/8/2021 18:10,8
2/8/2021 18:10,2/8/2021 18:20,5
2/8/2021 18:20,2/8/2021 18:30,4
2/8/2021 18:30,2/8/2021 18:40,4
2/8/2021 18:40,2/8/2021 18:50,3
2/8/2021 18:50,2/8/2021 19:00,3
2/8/2021 19:00,2/8/2021 19:10,3
2/8/2021 19:10,2/8/2021 19:20,4
2/8/2021 19:20,2/8/2021 19:30,5
2/8/2021 19:30,2/8/2021 19:40,5
2/8/2021 19:40,2/8/2021 19:50,5
2/8/2021 19:50,2/8/2021 20:00,5
2/8/2021 20:00,2/8/2021 20:10,5
2/8/2021 20:10,2/8/2021 20:20,5
2/8/2021 20:20,2/8/2021 20:30,5
2/8/2021 20:30,2/8/2021 20:40,5
2/8/2021 20:40,2/8/2021 20:50,6
2/8/2021 20:50,2/8/2021 21:00,6
2/8/2021 21:00,2/8/2021 21:10,6
2/8/2021 21:10,2/8/2021 21:20,3
2/8/2021 21:20,2/8/2021 21:30,3
2/8/2021 21:30,2/8/2021 21:40,5
2/8/2021 21:40,2/8/2021 21:50,7
2/8/2021 21:50,2/8/2021 22:00,7
2/8/2021 22:00,2/8/2021 22:10,7
2/8/2021 22:10,2/8/2021 22:20,9
2/8/2021 22:20,2/8/2021 22:30,13
2/8/2021 22:30,2/8/2021 22:40,13
2/8/2021 22:40,2/8/2021 22:50,19
2/8/2021 22:50,2/8/2021 23:00,25
2/8/2021 23:00,2/8/2021 23:10,26
2/8/2021 23:10,2/8/2021 23:20,26
2/8/2021 23:20,2/8/2021 23:30,30
2/8/2021 23:30,2/8/2021 23:40,40
2/8/2021 23:40,2/8/2021 23:50,39
2/8/2021 23:50,2/9/2021 00:00,39
2/9/2021 00:00,2/9/2021 00:10,48
2/9/2021 00:10,2/9/2021 00:20,59
2/9/2021 00:20,2/9/2021 00:30,52
2/9/2021 00:30,2/9/2021 00:40,29
2/9/2021 00:40,2/9/2021 00:50,16
2/9/2021 00:50,2/9/2021 01:00,9
2/9/2021 01:00,2/9/2021 01:10,5
2/9/2021 01:10,2/9/2021 01:20,5
2/9/2021 01:20,2/9/2021 01:30,6
2/9/2021 01:30,2/9/2021 01:40,8
2/9/2021 01:40,2/9/2021 01:50,10
2/9/2021 01:50,2/9/2021 02:00,14
2/9/2021 02:00,2/9/2021 02:10,17
2/9/2021 02:10,2/9/2021 02:20,20
2/9/2021 02:20,2/9/2021 02:30,26
2/9/2021 02:30,2/9/2021 02:40,30
2/9/2021 02:40,2/9/2021 02:50,35
2/9/2021 02:50,2/9/2021 03:00,46
2/9/2021 03:00,2/9/2021 03:10,49
2/9/2021 03:10,2/9/2021 03:20,58
2/9/2021 03:20,2/9/2021 03:30,61
2/9/2021 03:30,2/9/2021 03:40,66
2/9/2021 03:40,2/9/2021 03:50,72
2/9/2021 03:50,2/9/2021 04:00,54
2/9/2021 04:00,2/9/2021 04:10,0
2/9/2021 04:10,2/9/2021 04:20,1
2/9/2021 04:20,2/9/2021 04:30,4
2/9/2021 04:30,2/9/2021 04:40,3
2/9/2021 04:40,2/9/2021 04:50,3
2/9/2021 04:50,2/9/2021 05:00,4
2/9/2021 05:00,2/9/2021 05:10,10
2/9/2021 05:10,2/9/2021 05:20,15
2/9/2021 05:20,2/9/2021 05:30,18
2/9/2021 05:30,2/9/2021 05:40,22
2/9/2021 05:40,2/9/2021 05:50,25
2/9/2021 05:50,2/9/2021 06:00,33
2/9/2021 06:00,2/9/2021 06:10,44
2/9/2021 06:10,2/9/2021 06:20,53
2/9/2021 06:20,2/9/2021 06:30,74
2/9/2021 06:30,2/9/2021 06:40,62
2/9/2021 06:40,2/9/2021 06:50,18
2/9/2021 06:50,2/9/2021 07:00,0
2/9/2021 07:00,2/9/2021 07:10,1
2/9/2021 07:10,2/9/2021 07:20,0
2/9/2021 07:20,2/9/2021 07:30,2
2/9/2021 07:30,2/9/2021 07:40,2
2/9/2021 07:40,2/9/2021 07:50,2
2/9/2021 07:50,2/9/2021 08:00,4
2/9/2021 08:00,2/9/2021 08:10,7
2/9/2021 08:10,2/9/2021 08:20,10
2/9/2021 08:20,2/9/2021 08:30,8
2/9/2021 08:30,2/9/2021 08:40,12
2/9/2021 08:40,2/9/2021 08:50,11
2/9/2021 08:50,2/9/2021 09:00,10
2/9/2021 09:00,2/9/2021 09:10,10
2/9/2021 09:10,2/9/2021 09:20,8
2/9/2021 09:20,2/9/2021 09:30,7
2/9/2021 09:30,2/9/2021 09:40,4
2/9/2021 09:40,2/9/2021 09:50,5
2/9/2021 09:50,2/9/2021 10:00,4
2/9/2021 10:00,2/9/2021 10:10,3
2/9/2021 10:10,2/9/2021 10:20,4
2/9/2021 10:20,2/9/2021 10:30,5
2/9/2021 10:30,2/9/2021 10:40,7
2/9/2021 10:40,2/9/2021 10:50,5
2/9/2021 10:50,2/9/2021 11:00,4
2/9/2021 11:00,2/9/2021 11:10,3
2/9/2021 11:10,2/9/2021 11:20,3
2/9/2021 11:20,2/9/2021 11:30,3
2/9/2021 11:30,2/9/2021 11:40,3
2/9/2021 11:40,2/9/2021 11:50,3
2/9/2021 11:50,2/9/2021 12:00,3
2/9/2021 12:00,2/9/2021 12:10,3
2/9/2021 12:10,2/9/2021 12:20,3
2/9/2021 12:20,2/9/2021 12:30,3
2/9/2021 12:30,2/9/2021 12:40,3
2/9/2021 12:40,2/9/2021 12:50,3
2/9/2021 12:50,2/9/2021 13:00,3
2/9/2021 13:00,2/9/2021 13:10,3
2/9/2021 13:10,2/9/2021 13:20,3
2/9/2021 13:20,2/9/2021 13:30,2
2/9/2021 13:30,2/9/2021 13:40,2
2/9/2021 13:40,2/9/2021 13:50,4
2/9/2021 13:50,2/9/2021 14:00,2
2/9/2021 14:00,2/9/2021 14:10,3
2/9/2021 14:10,2/9/2021 14:20,3
2/9/2021 14:20,2/9/2021 14:30,6
2/9/2021 14:30,2/9/2021 14:40,2
2/9/2021 14:40,2/9/2021 14:50,2
2/9/2021 14:50,2/9/2021 15:00,2
2/9/2021 15:00,2/9/2021 15:10,2
2/9/2021 15:10,2/9/2021 15:20,2
2/9/2021 15:20,2/9/2021 15:30,2
2/9/2021 15:30,2/9/2021 15:40,1
2/9/2021 15:40,2/9/2021 15:50,2
2/9/2021 15:50,2/9/2021 16:00,2
2/9/2021 16:00,2/9/2021 16:10,3
2/9/2021 16:10,2/9/2021 16:20,2
2/9/2021 16:20,2/9/2021 16:30,2
2/9/2021 16:30,2/9/2021 16:40,4
2/9/2021 16:40,2/9/2021 16:50,2
2/9/2021 16:50,2/9/2021 17:00,2
2/9/2021 17:00,2/9/2021 17:10,2
2/9/2021 17:10,2/9/2021 17:20,2
2/9/2021 17:20,2/9/2021 17:30,2
2/9/2021 17:30,2/9/2021 17:40,2
2/9/2021 17:40,2/9/2021 17:50,2
2/9/2021 17:50,2/9/2021 18:00,2
2/9/2021 18:00,2/9/2021 18:10,2
2/9/2021 18:10,2/9/2021 18:20,2
2/9/2021 18:20,2/9/2021 18:30,2
2/9/2021 18:30,2/9/2021 18:40,2
2/9/2021 18:40,2/9/2021 18:50,3
2/9/2021 18:50,2/9/2021 19:00,3
2/9/2021 19:00,2/9/2021 19:10,3
2/9/2021 19:10,2/9/2021 19:20,3
2/9/2021 19:20,2/9/2021 19:30,3
2/9/2021 19:30,2/9/2021 19:40,3
2/9/2021 19:40,2/9/2021 19:50,3
2/9/2021 19:50,2/9/2021 20:00,4
2/9/2021 20:00,2/9/2021 20:10,4
2/9/2021 20:10,2/9/2021 20:20,4
2/9/2021 20:20,2/9/2021 20:30,4
2/9/2021 20:30,2/9/2021 20:40,4
2/9/2021 20:40,2/9/2021 20:50,5
2/9/2021 20:50,2/9/2021 21:00,4
2/9/2021 21:00,2/9/2021 21:10,4
2/9/2021 21:10,2/9/2021 21:20,4
2/9/2021 21:20,2/9/2021 21:30,5
2/9/2021 21:30,2/9/2021 21:40,5
2/9/2021 21:40,2/9/2021 21:50,5
2/9/2021 21:50,2/9/2021 22:00,6
2/9/2021 22:00,2/9/2021 22:10,5
2/9/2021 22:10,2/9/2021 22:20,5
2/9/2021 22:20,2/9/2021 22:30,5
2/9/2021 22:30,2/9/2021 22:40,5
2/9/2021 22:40,2/9/2021 22:50,5
2/9/2021 22:50,2/9/2021 23:00,5
2/9/2021 23:00,2/9/2021 23:10,5
2/9/2021 23:10,2/9/2021 23:20,5
2/9/2021 23:20,2/9/2021 23:30,6
2/9/2021 23:30,2/9/2021 23:40,5
2/9/2021 23:40,2/9/2021 23:50,5
2/9/2021 23:50,2/10/2021 00:00,5
2/10/2021 00:00,2/10/2021 00:10,5
2/10/2021 00:10,2/10/2021 00:20,5
2/10/2021 00:20,2/10/2021 00:30,5
2/10/2021 00:30,2/10/2021 00:40,5
2/10/2021 00:40,2/10/2021 00:50,5
2/10/2021 00:50,2/10/2021 01:00,5
2/10/2021 01:00,2/10/2021 01:10,5
2/10/2021 01:10,2/10/2021 01:20,8
2/10/2021 01:20,2/10/2021 01:30,9
2/10/2021 01:30,2/10/2021 01:40,14
2/10/2021 01:40,2/10/2021 01:50,21
2/10/2021 01:50,2/10/2021 02:00,27
2/10/2021 02:00,2/10/2021 02:10,31
2/10/2021 02:10,2/10/2021 02:20,32
2/10/2021 02:20,2/10/2021 02:30,32
2/10/2021 02:30,2/10/2021 02:40,35
2/10/2021 02:40,2/10/2021 02:50,55
2/10/2021 02:50,2/10/2021 03:00,69
2/10/2021 03:00,2/10/2021 03:10,79
2/10/2021 03:10,2/10/2021 03:20,86
2/10/2021 03:20,2/10/2021 03:30,94
2/10/2021 03:30,2/10/2021 03:40,97
2/10/2021 03:40,2/10/2021 03:50,104
2/10/2021 03:50,2/10/2021 04:00,105
2/10/2021 04:00,2/10/2021 04:10,1
2/10/2021 04:10,2/10/2021 04:20,0
2/10/2021 04:20,2/10/2021 04:30,0
2/10/2021 04:30,2/10/2021 04:40,1
2/10/2021 04:40,2/10/2021 04:50,18
2/10/2021 04:50,2/10/2021 05:00,40
2/10/2021 05:00,2/10/2021 05:10,59
2/10/2021 05:10,2/10/2021 05:20,67
2/10/2021 05:20,2/10/2021 05:30,74
2/10/2021 05:30,2/10/2021 05:40,84
2/10/2021 05:40,2/10/2021 05:50,96
2/10/2021 05:50,2/10/2021 06:00,104
2/10/2021 06:00,2/10/2021 06:10,93
2/10/2021 06:10,2/10/2021 06:20,33
2/10/2021 06:20,2/10/2021 06:30,8
2/10/2021 06:30,2/10/2021 06:40,8
2/10/2021 06:40,2/10/2021 06:50,4
2/10/2021 06:50,2/10/2021 07:00,5
2/10/2021 07:00,2/10/2021 07:10,6
2/10/2021 07:10,2/10/2021 07:20,6
2/10/2021 07:20,2/10/2021 07:30,5
2/10/2021 07:30,2/10/2021 07:40,3
2/10/2021 07:40,2/10/2021 07:50,3
2/10/2021 07:50,2/10/2021 08:00,3
2/10/2021 08:00,2/10/2021 08:10,3
2/10/2021 08:10,2/10/2021 08:20,3
2/10/2021 08:20,2/10/2021 08:30,3
2/10/2021 08:30,2/10/2021 08:40,3
2/10/2021 08:40,2/10/2021 08:50,3
2/10/2021 08:50,2/10/2021 09:00,4
2/10/2021 09:00,2/10/2021 09:10,4
2/10/2021 09:10,2/10/2021 09:20,4
2/10/2021 09:20,2/10/2021 09:30,4
2/10/2021 09:30,2/10/2021 09:40,5
2/10/2021 09:40,2/10/2021 09:50,5
2/10/2021 09:50,2/10/2021 10:00,4
2/10/2021 10:00,2/10/2021 10:10,3
2/10/2021 10:10,2/10/2021 10:20,3
2/10/2021 10:20,2/10/2021 10:30,3
2/10/2021 10:30,2/10/2021 10:40,3
2/10/2021 10:40,2/10/2021 10:50,3
2/10/2021 10:50,2/10/2021 11:00,3
2/10/2021 11:00,2/10/2021 11:10,3
2/10/2021 11:10,2/10/2021 11:20,3
2/10/2021 11:20,2/10/2021 11:30,3
2/10/2021 11:30,2/10/2021 11:40,3
2/10/2021 11:40,2/10/2021 11:50,4
2/10/2021 11:50,2/10/2021 12:00,5
2/10/2021 12:00,2/10/2021 12:10,3
2/10/2021 12:10,2/10/2021 12:20,4
2/10/2021 12:20,2/10/2021 12:30,4
2/10/2021 12:30,2/10/2021 12:40,4
2/10/2021 12:40,2/10/2021 12:50,4
2/10/2021 12:50,2/10/2021 13:00,4
2/10/2021 13:00,2/10/2021 13:10,4
2/10/2021 13:10,2/10/2021 13:20,4
2/10/2021 13:20,2/10/2021 13:30,4
2/10/2021 13:30,2/10/2021 13:40,4
2/10/2021 13:40,2/10/2021 13:50,4
2/10/2021 13:50,2/10/2021 14:00,5
2/10/2021 14:00,2/10/2021 14:10,2
2/10/2021 14:10,2/10/2021 14:20,3
2/10/2021 14:20,2/10/2021 14:30,2
2/10/2021 14:30,2/10/2021 14:40,2
2/10/2021 14:40,2/10/2021 14:50,1
2/10/2021 14:50,2/10/2021 15:00,1
2/10/2021 15:00,2/10/2021 15:10,0
2/10/2021 15:10,2/10/2021 15:20,1
2/10/2021 15:20,2/10/2021 15:30,1
2/10/2021 15:30,2/10/2021 15:40,2
2/10/2021 15:40,2/10/2021 15:50,3
2/10/2021 15:50,2/10/2021 16:00,3
2/10/2021 16:00,2/10/2021 16:10,3
2/10/2021 16:10,2/10/2021 16:20,3
2/10/2021 16:20,2/10/2021 16:30,10
2/10/2021 16:30,2/10/2021 16:40,13
2/10/2021 16:40,2/10/2021 16:50,20
2/10/2021 16:50,2/10/2021 17:00,22
2/10/2021 17:00,2/10/2021 17:10,29
2/10/2021 17:10,2/10/2021 17:20,30
2/10/2021 17:20,2/10/2021 17:30,37
2/10/2021 17:30,2/10/2021 17:40,45
2/10/2021 17:40,2/10/2021 17:50,44
2/10/2021 17:50,2/10/2021 18:00,46
2/10/2021 18:00,2/10/2021 18:10,42
2/10/2021 18:10,2/10/2021 18:20,21
2/10/2021 18:20,2/10/2021 18:30,2
2/10/2021 18:30,2/10/2021 18:40,0
2/10/2021 18:40,2/10/2021 18:50,0
2/10/2021 18:50,2/10/2021 19:00,0
2/10/2021 19:00,2/10/2021 19:10,0
2/10/2021 19:10,2/10/2021 19:20,0
2/10/2021 19:20,2/10/2021 19:30,0
2/10/2021 19:30,2/10/2021 19:40,0
2/10/2021 19:40,2/10/2021 19:50,0
2/10/2021 19:50,2/10/2021 20:00,0
2/10/2021 20:00,2/10/2021 20:10,1
2/10/2021 20:10,2/10/2021 20:20,0
2/10/2021 20:20,2/10/2021 20:30,0
2/10/2021 20:30,2/10/2021 20:40,1
2/10/2021 20:40,2/10/2021 20:50,1
2/10/2021 20:50,2/10/2021 21:00,1
2/10/2021 21:00,2/10/2021 21:10,0
2/10/2021 21:10,2/10/2021 21:20,0
2/10/2021 21:20,2/10/2021 21:30,1
2/10/2021 21:30,2/10/2021 21:40,0
2/10/2021 21:40,2/10/2021 21:50,0
2/10/2021 21:50,2/10/2021 22:00,3
2/10/2021 22:00,2/10/2021 22:10,4
2/10/2021 22:10,2/10/2021 22:20,3
2/10/2021 22:20,2/10/2021 22:30,5
2/10/2021 22:30,2/10/2021 22:40,10
2/10/2021 22:40,2/10/2021 22:50,12
2/10/2021 22:50,2/10/2021 23:00,15
2/10/2021 23:00,2/10/2021 23:10,21
2/10/2021 23:10,2/10/2021 23:20,27
2/10/2021 23:20,2/10/2021 23:30,33
2/10/2021 23:30,2/10/2021 23:40,39
2/10/2021 23:40,2/10/2021 23:50,48
2/10/2021 23:50,2/11/2021 00:00,54
2/11/2021 00:00,2/11/2021 00:10,66
2/11/2021 00:10,2/11/2021 00:20,68
2/11/2021 00:20,2/11/2021 00:30,78
2/11/2021 00:30,2/11/2021 00:40,64
2/11/2021 00:40,2/11/2021 00:50,27
2/11/2021 00:50,2/11/2021 01:00,1
2/11/2021 01:00,2/11/2021 01:10,0
2/11/2021 01:10,2/11/2021 01:20,1
2/11/2021 01:20,2/11/2021 01:30,2
2/11/2021 01:30,2/11/2021 01:40,2
2/11/2021 01:40,2/11/2021 01:50,8
2/11/2021 01:50,2/11/2021 02:00,10
2/11/2021 02:00,2/11/2021 02:10,22
2/11/2021 02:10,2/11/2021 02:20,32
2/11/2021 02:20,2/11/2021 02:30,34
2/11/2021 02:30,2/11/2021 02:40,41
2/11/2021 02:40,2/11/2021 02:50,49
2/11/2021 02:50,2/11/2021 03:00,60
2/11/2021 03:00,2/11/2021 03:10,72
2/11/2021 03:10,2/11/2021 03:20,82
2/11/2021 03:20,2/11/2021 03:30,87
2/11/2021 03:30,2/11/2021 03:40,87
2/11/2021 03:40,2/11/2021 03:50,102
2/11/2021 03:50,2/11/2021 04:00,100
2/11/2021 04:00,2/11/2021 04:10,0
2/11/2021 04:10,2/11/2021 04:20,0
2/11/2021 04:20,2/11/2021 04:30,1
2/11/2021 04:30,2/11/2021 04:40,0
2/11/2021 04:40,2/11/2021 04:50,0
2/11/2021 04:50,2/11/2021 05:00,0
2/11/2021 05:00,2/11/2021 05:10,0
2/11/2021 05:10,2/11/2021 05:20,0
2/11/2021 05:20,2/11/2021 05:30,0
2/11/2021 05:30,2/11/2021 05:40,0
2/11/2021 05:40,2/11/2021 05:50,0
2/11/2021 05:50,2/11/2021 06:00,0
2/11/2021 06:00,2/11/2021 06:10,0
2/11/2021 06:10,2/11/2021 06:20,0
2/11/2021 06:20,2/11/2021 06:30,0
2/11/2021 06:30,2/11/2021 06:40,3
2/11/2021 06:40,2/11/2021 06:50,3
2/11/2021 06:50,2/11/2021 07:00,3
2/11/2021 07:00,2/11/2021 07:10,5
2/11/2021 07:10,2/11/2021 07:20,7
2/11/2021 07:20,2/11/2021 07:30,11
2/11/2021 07:30,2/11/2021 07:40,13
2/11/2021 07:40,2/11/2021 07:50,17
2/11/2021 07:50,2/11/2021 08:00,19
2/11/2021 08:00,2/11/2021 08:10,22
2/11/2021 08:10,2/11/2021 08:20,27
2/11/2021 08:20,2/11/2021 08:30,37
2/11/2021 08:30,2/11/2021 08:40,44
2/11/2021 08:40,2/11/2021 08:50,56
2/11/2021 08:50,2/11/2021 09:00,60
2/11/2021 09:00,2/11/2021 09:10,64
2/11/2021 09:10,2/11/2021 09:20,39
2/11/2021 09:20,2/11/2021 09:30,27
2/11/2021 09:30,2/11/2021 09:40,20
2/11/2021 09:40,2/11/2021 09:50,10
2/11/2021 09:50,2/11/2021 10:00,10
2/11/2021 10:00,2/11/2021 10:10,10
2/11/2021 10:10,2/11/2021 10:20,8
2/11/2021 10:20,2/11/2021 10:30,8
2/11/2021 10:30,2/11/2021 10:40,7
2/11/2021 10:40,2/11/2021 10:50,7
2/11/2021 10:50,2/11/2021 11:00,7
2/11/2021 11:00,2/11/2021 11:10,7
2/11/2021 11:10,2/11/2021 11:20,7
2/11/2021 11:20,2/11/2021 11:30,8
2/11/2021 11:30,2/11/2021 11:40,8
2/11/2021 11:40,2/11/2021 11:50,8
2/11/2021 11:50,2/11/2021 12:00,8
2/11/2021 12:00,2/11/2021 12:10,8
2/11/2021 12:10,2/11/2021 12:20,8
2/11/2021 12:20,2/11/2021 12:30,8
2/11/2021 12:30,2/11/2021 12:40,7
2/11/2021 12:40,2/11/2021 12:50,6
2/11/2021 12:50,2/11/2021 13:00,6
2/11/2021 13:00,2/11/2021 13:10,6
2/11/2021 13:10,2/11/2021 13:20,6
2/11/2021 13:20,2/11/2021 13:30,8
2/11/2021 13:30,2/11/2021 13:40,9
2/11/2021 13:40,2/11/2021 13:50,11
2/11/2021 13:50,2/11/2021 14:00,13
2/11/2021 14:00,2/11/2021 14:10,21
2/11/2021 14:10,2/11/2021 14:20,28
2/11/2021 14:20,2/11/2021 14:30,33
2/11/2021 14:30,2/11/2021 14:40,39
2/11/2021 14:40,2/11/2021 14:50,44
2/11/2021 14:50,2/11/2021 15:00,57
2/11/2021 15:00,2/11/2021 15:10,73
2/11/2021 15:10,2/11/2021 15:20,64
2/11/2021 15:20,2/11/2021 15:30,28
2/11/2021 15:30,2/11/2021 15:40,13
2/11/2021 15:40,2/11/2021 15:50,15
2/11/2021 15:50,2/11/2021 16:00,18
2/11/2021 16:00,2/11/2021 16:10,17
2/11/2021 16:10,2/11/2021 16:20,15
2/11/2021 16:20,2/11/2021 16:30,13
2/11/2021 16:30,2/11/2021 16:40,13
2/11/2021 16:40,2/11/2021 16:50,13
2/11/2021 16:50,2/11/2021 17:00,12
2/11/2021 17:00,2/11/2021 17:10,10
2/11/2021 17:10,2/11/2021 17:20,11
2/11/2021 17:20,2/11/2021 17:30,12
2/11/2021 17:30,2/11/2021 17:40,11
2/11/2021 17:40,2/11/2021 17:50,12
2/11/2021 17:50,2/11/2021 18:00,11
2/11/2021 18:00,2/11/2021 18:10,12
2/11/2021 18:10,2/11/2021 18:20,13
2/11/2021 18:20,2/11/2021 18:30,17
2/11/2021 18:30,2/11/2021 18:40,16
2/11/2021 18:40,2/11/2021 18:50,16
2/11/2021 18:50,2/11/2021 19:00,16
2/11/2021 19:00,2/11/2021 19:10,16
2/11/2021 19:10,2/11/2021 19:20,16
2/11/2021 19:20,2/11/2021 19:30,16
2/11/2021 19:30,2/11/2021 19:40,17
2/11/2021 19:40,2/11/2021 19:50,16
2/11/2021 19:50,2/11/2021 20:00,16
2/11/2021 20:00,2/11/2021 20:10,16
2/11/2021 20:10,2/11/2021 20:20,15
2/11/2021 20:20,2/11/2021 20:30,14
2/11/2021 20:30,2/11/2021 20:40,15
2/11/2021 20:40,2/11/2021 20:50,14
2/11/2021 20:50,2/11/2021 21:00,14
2/11/2021 21:00,2/11/2021 21:10,14
2/11/2021 21:10,2/11/2021 21:20,14
2/11/2021 21:20,2/11/2021 21:30,14
2/11/2021 21:30,2/11/2021 21:40,14
2/11/2021 21:40,2/11/2021 21:50,14
2/11/2021 21:50,2/11/2021 22:00,16
2/11/2021 22:00,2/11/2021 22:10,55
2/11/2021 22:10,2/11/2021 22:20,101
2/11/2021 22:20,2/11/2021 22:30,31
2/11/2021 22:30,2/11/2021 22:40,14
2/11/2021 22:40,2/11/2021 22:50,15
2/11/2021 22:50,2/11/2021 23:00,15
2/11/2021 23:00,2/11/2021 23:10,16
2/11/2021 23:10,2/11/2021 23:20,14
2/11/2021 23:20,2/11/2021 23:30,14
2/11/2021 23:30,2/11/2021 23:40,14
2/11/2021 23:40,2/11/2021 23:50,14
2/11/2021 23:50,2/12/2021 00:00,14
2/12/2021 00:00,2/12/2021 00:10,14
2/12/2021 00:10,2/12/2021 00:20,14
2/12/2021 00:20,2/12/2021 00:30,14
2/12/2021 00:30,2/12/2021 00:40,15
2/12/2021 00:40,2/12/2021 00:50,14
2/12/2021 00:50,2/12/2021 01:00,15
2/12/2021 01:00,2/12/2021 01:10,15
2/12/2021 01:10,2/12/2021 01:20,16
2/12/2021 01:20,2/12/2021 01:30,18
2/12/2021 01:30,2/12/2021 01:40,17
2/12/2021 01:40,2/12/2021 01:50,19
2/12/2021 01:50,2/12/2021 02:00,20
2/12/2021 02:00,2/12/2021 02:10,21
2/12/2021 02:10,2/12/2021 02:20,28
2/12/2021 02:20,2/12/2021 02:30,38
